2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
294,San Mateo,California,105025,97207,+8.04%,12.1sqmi 31.3km2,"8,592/sqmi 3,317/km2","https://en.wikipedia.org/wiki/San_Mateo_County,_California","San Mateo County ( SAN mə-TAY-oh), officially the County of San Mateo, is a county located in  the U.S. state of California."
295,Green Bay,Wisconsin,104879,104057,+0.79%,45.4sqmi 117.6km2,"2,316/sqmi 894/km2",https://en.wikipedia.org/wiki/Green_Bay_Packers,"The Green Bay Packers are a professional American football team based in Green Bay, Wisconsin."
296,Wichita Falls,Texas,104576,104553,+0.02%,72.2sqmi 187.0km2,"1,450/sqmi 560/km2","https://en.wikipedia.org/wiki/Wichita_Falls,_Texas","Wichita Falls ( WITCH-i-taw) is a city in and the county seat of Wichita County, Texas, United States."
299,Burbank,California,103695,103340,+0.34%,17.4sqmi 45.1km2,"6,003/sqmi 2,318/km2","https://en.wikipedia.org/wiki/Burbank,_California","Burbank is a city in Los Angeles County in the Los Angeles metropolitan area of Southern California, United States, 12 miles (19 km) northwest of downtown Los Angeles."
300,Rialto,California,103440,99171,+4.30%,22.3sqmi 57.8km2,"4,633/sqmi 1,789/km2",https://en.wikipedia.org/wiki/Rialto,"The Rialto is a central area of Venice, Italy, in the sestiere of San Polo."
302,El Cajon,California,103241,99478,+3.78%,14.5sqmi 37.6km2,"7,156/sqmi 2,763/km2","https://en.wikipedia.org/wiki/El_Cajon,_California","El Cajon (; Spanish: [elkaˈxon]) is a city in San Diego County, California, United States, 17 mi (27 km) east of Downtown San Diego."
303,Las Cruces,New Mexico,102926,97618,+5.44%,76.9sqmi 199.2km2,"1,323/sqmi 511/km2","https://en.wikipedia.org/wiki/Las_Cruces,_New_Mexico","Las Cruces is the seat of Doña Ana County, New Mexico, United States."
304,Renton,Washington,102153,90927,+12.35%,23.4sqmi 60.6km2,"4,314/sqmi 1,666/km2","https://en.wikipedia.org/wiki/Renton,_Washington","Renton is a city in King County, Washington, and an inner-ring suburb of Seattle."
306,South Bend,Indiana,101860,101168,+0.68%,41.4sqmi 107.2km2,"2,457/sqmi 949/km2","https://en.wikipedia.org/wiki/South_Bend,_Indiana",South Bend is a city in and the county seat of St.
308,Tuscaloosa,Alabama,101113,90468,+11.77%,71.7sqmi 185.7km2,"1,399/sqmi 540/km2","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama",Tuscaloosa ( TUS-kə-LOO-sə) is a city in and the seat of Tuscaloosa County in west central Alabama (in the southeastern United States).
309,Clinton,Michigan,100800,96796,+4.14%,28.1sqmi 72.8km2,"3,573/sqmi 1,380/km2",https://en.wikipedia.org/wiki/Clinton,"Clinton is an English noble surname, indicating one's ancestors came from English places called Glympton or Glinton."
312,San Angelo,Texas,100215,93200,+7.53%,59.9sqmi 155.1km2,"1,681/sqmi 649/km2","https://en.wikipedia.org/wiki/San_Angelo,_Texas","San Angelo  is a city in and the county seat of Tom Green County, Texas, United States."
313,Kenosha,Wisconsin,100164,99218,+0.95%,28.0sqmi 72.5km2,"3,577/sqmi 1,381/km2","https://en.wikipedia.org/wiki/Kenosha,_Wisconsin","Kenosha  is a city in and the county seat of Kenosha County, Wisconsin, United States."
314,Vacaville,California,100154,92428,+8.36%,29.0sqmi 75.1km2,"3,449/sqmi 1,332/km2","https://en.wikipedia.org/wiki/Vacaville,_California",Vacaville is a city located in Solano County in Northern California.
